algorithm,trial,depth,moves,result,time_seconds,nodes,avg_time_per_move,avg_nodes_per_move
alphabeta,1,1,283,1-0,2.18833589553833,4386,0.0077326356732803185,15.498233215547703
alphabeta,1,2,77,1-0,17.033058881759644,31153,0.22120855690596938,404.5844155844156
minimax,1,1,283,1-0,2.1162033081054688,4386,0.007477750205319678,15.498233215547703
minimax,1,2,77,1-0,49.128660678863525,83868,0.6380345542709549,1089.1948051948052
