algorithm,trial,depth,moves,result,time_seconds,nodes,avg_time_per_move,avg_nodes_per_move
alphabeta,1,1,283,1-0,2.627767324447632,4386,0.009285396906175377,15.498233215547703
alphabeta,2,1,283,1-0,2.815232276916504,4386,0.009947817232920509,15.498233215547703
alphabeta,3,1,283,1-0,2.836906671524048,4386,0.010024405199731619,15.498233215547703
alphabeta,1,2,77,1-0,23.34388494491577,31153,0.3031673369469581,404.5844155844156
alphabeta,2,2,77,1-0,21.411458730697632,31153,0.2780708926064627,404.5844155844156
alphabeta,3,2,77,1-0,19.724002599716187,31153,0.256155877918392,404.5844155844156
alphabeta,1,3,85,1-0,271.88516116142273,683322,3.1986489548402672,8039.082352941176
alphabeta,2,3,85,1-0,297.34428906440735,683322,3.4981681066400863,8039.082352941176
alphabeta,3,3,85,1-0,348.07109546661377,683322,4.094954064313103,8039.082352941176
minimax,1,1,283,1-0,1.6477015018463135,4386,0.0058222667909763725,15.498233215547703
minimax,2,1,283,1-0,1.6969943046569824,4386,0.005996446306208419,15.498233215547703
minimax,3,1,283,1-0,1.6736359596252441,4386,0.005913907984541499,15.498233215547703
minimax,1,2,77,1-0,36.00505256652832,83868,0.46759808527958857,1089.1948051948052
minimax,2,2,77,1-0,33.00888681411743,83868,0.42868684174178484,1089.1948051948052
minimax,3,2,77,1-0,31.158703804016113,83868,0.40465849096124823,1089.1948051948052
minimax,1,3,85,1-0,1515.8129153251648,3821372,17.833093121472526,44957.31764705882
minimax,2,3,85,1-0,1728.9700379371643,3821372,20.340823975731343,44957.31764705882
minimax,3,3,85,1-0,1520.014973640442,3821372,17.882529101652256,44957.31764705882
